N°,Departamento,Provincia,Ubigeo distrital,Distrito,UBIG_TAM,UBIGEO_CCP,UBIGEO_DIS,DISTRITO,CCPP,LOCAL DE DISTRIBUCIÓN DE BIENES,T° Mínima P10 (°C),Frecuencia de heladas (días/mes),Total del distrito,Población menor a 5 años,Población de 60 años a más,Nivel de Riesgo MINSA,Total de viviendas por distrito,Total de hogares,Número de Tambos en el distrito,Nivel de Riesgo MVCS,Total de instituciones educativas,Total de alumnos,Total de docentes,Nivel de Riesgo MINEDU,Latitud,Longitud
77,CUSCO,CHUMBIVILCAS,80706,LLUSCO,807050031,807050031,80705,LIVITACA,QQUECHAQUEHUINCHA,TAMBO QUEHUINCHA,-14 a -11,20 a 31 dias,7100,833,861,ALTO,1560,1560,0,MUY ALTO,18,244,14,ALTO,-14.34823,-72.12155899999999
78,CUSCO,CHUMBIVILCAS,80707,QUIÑOTA,807050031,807050031,80705,LIVITACA,QQUECHAQUEHUINCHA,TAMBO QUEHUINCHA,-14 a -11,20 a 31 dias,4930,649,460,ALTO,1067,1067,0,MUY ALTO,16,271,12,ALTO,-14.31779,-72.14971899999999
79,CUSCO,CHUMBIVILCAS,80701,SANTO TOMAS,807010004,807010004,80701,SANTO TOMAS,MELLOTOTORA,TAMBO MELLOTOTORA COLCA,-14 a -11,20 a 31 dias,26707,2847,2884,ALTO,6090,6096,4,ALTO,39,575,29,ALTO,-14.4485861,-72.0794063
80,CUSCO,CHUMBIVILCAS,80708,VELILLE,807080008,807080008,80708,VELILLE,AYACCASI,TAMBO AYACCASI,-14 a -11,20 a 31 dias,8514,917,1022,ALTO,2229,2229,1,MUY ALTO,24,305,18,ALTO,-14.51688,-71.88636
81,CUSCO,ESPINAR,80808,ALTO PICHIGUA,808030019,808030019,80803,COPORAQUE,SANTA ROSA HUAYHUASI,TAMBO HUAYHUAHUASI,-14 a -11,20 a 31 dias,3147,306,525,ALTO,646,652,0,MUY ALTO,6,46,4,ALTO,-14.777889,-71.2513737
82,CUSCO,ESPINAR,80802,CONDOROMA,808030019,808030019,80803,COPORAQUE,SANTA ROSA HUAYHUASI,TAMBO HUAYHUAHUASI,-20 a -14,20 a 31 dias,1412,121,175,ALTO,417,424,0,MUY ALTO,3,38,3,MUY ALTO,-15.25055,-71.0927279
83,CUSCO,ESPINAR,80803,COPORAQUE,808030019,808030019,80803,COPORAQUE,SANTA ROSA HUAYHUASI,TAMBO HUAYHUAHUASI,-14 a -11,20 a 31 dias,17877,2047,2058,MUY ALTO,3500,3510,2,MUY ALTO,58,437,35,ALTO,-14.7981305,-71.5323346
84,CUSCO,ESPINAR,80801,ESPINAR,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC,-14 a -11,20 a 31 dias,33520,3186,2561,ALTO,7380,7427,0,MEDIO,27,254,23,ALTO,-14.7895845,-71.412125
85,CUSCO,ESPINAR,80804,OCORURO,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC,-14 a -11,20 a 31 dias,1593,132,255,ALTO,400,400,0,MUY ALTO,7,67,6,MUY ALTO,-15.0525,-71.12888888888888
86,CUSCO,ESPINAR,80805,PALLPATA,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC,-14 a -11,20 a 31 dias,5552,520,717,ALTO,1414,1421,0,MUY ALTO,21,140,9,MUY ALTO,-14.8904988,-71.2096952
