Solution,Source,Destination,Item 1,Item 2,Item 3
22,A1,B3,230.0,210.0,150.0
22,A2,B1,132.0,185.0,108.0
22,A2,B3,38.0,5.0,142.0
22,B1,C1,132.0,185.0,108.0
22,B3,C2,268.0,215.0,292.0
22,C1,D1,20.0,20.0,16.0
22,C1,D2,28.0,28.0,10.0
22,C1,D3,4.0,12.0,5.0
22,C1,D4,17.0,76.0,9.0
22,C1,D5,8.0,3.0,5.0
22,C1,D6,48.0,24.0,51.0
22,C1,D7,2.0,11.0,12.0
22,C1,D8,5.0,11.0,0.0
22,C2,D1,18.0,14.0,12.0
22,C2,D2,22.0,15.0,10.0
22,C2,D3,31.0,16.0,85.0
22,C2,D4,9.0,22.0,7.0
22,C2,D5,10.0,4.0,32.0
22,C2,D6,42.0,16.0,29.0
22,C2,D7,1.0,10.0,7.0
22,C2,D8,135.0,118.0,110.0
23,A1,B3,230.0,210.0,150.0
23,A2,B1,136.0,187.0,104.0
23,A2,B3,34.0,3.0,146.0
23,B1,C1,136.0,187.0,104.0
23,B3,C2,264.0,213.0,296.0
23,C1,D1,24.0,20.0,16.0
23,C1,D2,28.0,30.0,10.0
23,C1,D3,4.0,12.0,5.0
23,C1,D4,17.0,78.0,9.0
23,C1,D5,8.0,1.0,6.0
23,C1,D6,48.0,24.0,51.0
23,C1,D7,2.0,11.0,7.0
23,C1,D8,5.0,11.0,0.0
23,C2,D1,16.0,15.0,12.0
23,C2,D2,22.0,15.0,10.0
23,C2,D3,29.0,16.0,85.0
23,C2,D4,9.0,22.0,7.0
23,C2,D5,10.0,1.0,36.0
23,C2,D6,42.0,16.0,29.0
23,C2,D7,1.0,10.0,7.0
23,C2,D8,135.0,118.0,110.0
24,A1,B3,230.0,210.0,150.0
24,A2,B1,136.0,185.0,104.0
24,A2,B3,34.0,5.0,146.0
24,B1,C1,136.0,185.0,104.0
24,B3,C2,264.0,215.0,296.0
24,C1,D1,24.0,20.0,16.0
24,C1,D2,28.0,26.0,10.0
24,C1,D3,4.0,12.0,5.0
24,C1,D4,17.0,78.0,9.0
24,C1,D5,8.0,3.0,6.0
24,C1,D6,48.0,24.0,51.0
24,C1,D7,2.0,11.0,7.0
24,C1,D8,5.0,11.0,0.0
24,C2,D1,16.0,15.0,12.0
24,C2,D2,22.0,14.0,10.0
24,C2,D3,29.0,16.0,85.0
24,C2,D4,9.0,22.0,7.0
24,C2,D5,10.0,4.0,36.0
24,C2,D6,42.0,16.0,29.0
24,C2,D7,1.0,10.0,7.0
